generation,average
0,16.066666666666666
1,18.266666666666666
2,18.833333333333332
3,20.766666666666666
4,22.366666666666667
5,21.7
6,22.3
7,22.833333333333332
8,22.9
9,23.466666666666665
10,23.333333333333332
11,23.666666666666668
12,24.066666666666666
13,24.2
14,23.733333333333334
15,23.6
16,23.566666666666666
17,24.266666666666666
18,24.066666666666666
19,24.0
20,24.666666666666668
21,24.4
22,25.1
23,24.666666666666668
24,24.533333333333335
25,25.7
26,25.9
27,25.166666666666668
28,25.9
29,25.866666666666667
30,25.133333333333333
31,25.2
32,25.533333333333335
33,25.666666666666668
34,24.766666666666666
35,24.966666666666665
36,24.2
37,25.133333333333333
38,24.8
39,25.033333333333335
40,25.266666666666666
41,26.533333333333335
42,26.3
43,25.9
44,25.1
