generation,average
0,14.366666666666667
1,16.166666666666668
2,18.066666666666666
3,19.733333333333334
4,19.7
5,21.133333333333333
6,21.866666666666667
7,21.0
8,22.3
9,21.6
10,21.9
11,22.0
12,23.1
13,24.8
14,25.066666666666666
15,24.766666666666666
16,24.566666666666666
17,24.733333333333334
18,24.533333333333335
19,24.133333333333333
20,24.666666666666668
21,25.033333333333335
22,25.866666666666667
23,25.8
24,25.933333333333334
25,25.0
26,24.9
27,25.0
28,25.533333333333335
29,25.333333333333332
